Id,OwnerId,IsDeleted,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Tour__c,Date__c,Home_Team__c,Away_Team__c,Team_Home__c,Team_Away__c,Country__c,Scored__c,Conceded__c,Total__c,Result__c,Scored_half_1__c,Conceded_half_1__c,Total_half_1__c,Result_half_1__c,Scored_half_2__c,Conceded_half_2__c,Total_half_2__c,Result_half_2__c
,,,,,,,,,,,1/5/2020,Smolevichi,BGU Minsk,a2U6F000002L7xCUAS,a2U6F000002L7xEUAS,Belarus,0,2,2,-2,0,1,1,-1,0,1,1,-1
,,,,,,,,,,,1/6/2020,Minsk,Slutsk,a2U6F000002L7xBUAS,a2U6F000002L7xLUAS,Belarus,1,0,1,1,1,0,1,1,0,0,0,0
,,,,,,,,,,,1/8/2020,Neman,Dinamo Minsk,a2U6F000002L7xYUAS,a2U6F000002L7xMUAS,Belarus,1,0,1,1,0,0,0,0,1,0,1,1
,,,,,,,,,,,1/8/2020,Slavia Mozyr,Isloch,a2U6F000002L7xRUAS,a2U6F000002L7xbUAC,Belarus,2,4,6,-2,1,2,3,-1,1,2,3,-1
,,,,,,,,,,,1/8/2020,Smolevichi,Belshina,a2U6F000002L7xCUAS,a2U6F000002L7xVUAS,Belarus,0,3,3,-3,0,1,1,-1,0,2,2,-2
,,,,,,,,,,,2/5/2020,Dinamo Minsk,Slutsk,a2U6F000002L7xMUAS,a2U6F000002L7xLUAS,Belarus,1,2,3,-1,0,1,1,-1,1,1,2,0
,,,,,,,,,,,2/5/2020,Ruh Brest,Gorodeya,a2U6F000002L7xGUAS,a2U6F000002L7xaUAC,Belarus,1,1,2,0,0,0,0,0,1,1,2,0
,,,,,,,,,,,2/5/2020,Minsk,Belaz Zhodino,a2U6F000002L7xBUAS,a2U6F000002L7xDUAS,Belarus,2,5,7,-3,1,4,5,-3,1,1,2,0
,,,,,,,,,,,2/8/2020,Gorodeya,BGU Minsk,a2U6F000002L7xaUAC,a2U6F000002L7xEUAS,Belarus,1,1,2,0,0,0,0,0,1,1,2,0
,,,,,,,,,,,2/8/2020,Minsk,Ruh Brest,a2U6F000002L7xBUAS,a2U6F000002L7xGUAS,Belarus,0,1,1,-1,0,1,1,-1,0,0,0,0
,,,,,,,,,,,2/8/2020,Belaz Zhodino,Bate Borisov,a2U6F000002L7xDUAS,a2U6F000002L7xFUAS,Belarus,3,2,5,1,1,2,3,-1,2,0,2,2
,,,,,,,,,,,3/4/2020,Dinamo Minsk,Belaz Zhodino,a2U6F000002L7xMUAS,a2U6F000002L7xDUAS,Belarus,2,0,2,2,2,0,2,2,0,0,0,0
,,,,,,,,,,,3/4/2020,Belshina,Gorodeya,a2U6F000002L7xVUAS,a2U6F000002L7xaUAC,Belarus,0,1,1,-1,0,0,0,0,0,1,1,-1
,,,,,,,,,,,3/5/2020,Soligorsk,Isloch,a2U6F000002L7xWUAS,a2U6F000002L7xbUAC,Belarus,4,0,4,4,1,0,1,1,3,0,3,3
,,,,,,,,,,,3/5/2020,Bate Borisov,Neman,a2U6F000002L7xFUAS,a2U6F000002L7xYUAS,Belarus,3,1,4,2,2,1,3,1,1,0,1,1
,,,,,,,,,,,3/5/2020,Vitebsk,Slavia Mozyr,a2U6F000002L7xQUAS,a2U6F000002L7xRUAS,Belarus,2,3,5,-1,0,1,1,-1,2,2,4,0
,,,,,,,,,,,3/5/2020,Belshina,Dinamo Brest,a2U6F000002L7xVUAS,a2U6F000002L7xXUAS,Belarus,0,3,3,-3,0,1,1,-1,0,2,2,-2
,,,,,,,,,,,3/7/2020,Smolevichi,Dinamo Brest,a2U6F000002L7xCUAS,a2U6F000002L7xXUAS,Belarus,3,3,6,0,0,2,2,-2,3,1,4,2
,,,,,,,,,,,3/7/2020,Slavia Mozyr,Slutsk,a2U6F000002L7xRUAS,a2U6F000002L7xLUAS,Belarus,3,1,4,2,2,1,3,1,1,0,1,1
,,,,,,,,,,,4/4/2020,Dinamo Brest,Slavia Mozyr,a2U6F000002L7xXUAS,a2U6F000002L7xRUAS,Belarus,1,2,3,-1,0,0,0,0,1,2,3,-1
